"Date","SP","CCGT","OIL","COAL","NUCLEAR","WIND","PS","NPSHYD","OCGT","OTHER","INTFR","INTIRL","INTNED","INTEW","BIOMASS","INTNEM","INTIFA2","INTELEC"
"2019-12-08","44","3498","0","794","6827","11293","690","572","1","142","1512","82","806","504","2985","792","",""
"2019-12-08","45","3516","0","913","6829","11283","668","566","1","143","-350","82","760","504","3038","740","",""
"2019-12-08","46","3081","0","934","6829","11036","472","576","1","146","-438","82","758","504","2876","740","",""
"2019-12-08","47","2969","0","922","6826","10791","164","533","1","168","-1502","82","666","504","2757","740","",""
"2019-12-08","48","2859","0","832","6832","10944","-530","530","1","140","-1514","82","666","504","2548","740","",""
"2019-12-09","1","2842","0","764","6835","11186","-682","519","1","131","-1544","82","608","504","2467","692","",""
"2019-12-09","2","3159","0","765","6821","10781","-716","520","0","150","-1546","82","606","504","2920","690","",""
"2019-12-09","3","3566","0","889","6832","10647","-1574","518","0","166","-1516","82","684","504","3020","692","",""
"2019-12-09","4","3522","0","833","6828","10483","-1738","515","1","164","-1516","82","684","504","3035","692","",""
"2019-12-09","5","3427","0","874","6833","9948","-1494","510","1","136","-1420","82","400","504","3081","690","",""
"2019-12-09","6","3385","0","959","6837","9866","-1670","509","0","100","-1420","82","394","450","3086","690","",""
"2019-12-09","7","3318","0","967","6833","9934","-1596","509","1","99","-1420","82","0","500","3091","566","",""
"2019-12-09","8","3219","0","914","6836","9861","-1694","509","0","99","-1420","82","0","428","3089","552","",""
"2019-12-09","9","3356","0","914","6793","9783","-1668","494","0","100","-1420","82","100","498","3089","14","",""
"2019-12-09","10","3581","0","873","6741","9783","-1672","494","1","99","-1428","82","102","504","3085","0","",""
"2019-12-09","11","3793","0","932","6740","9920","-952","520","1","106","-1024","82","-186","504","3072","-394","",""
"2019-12-09","12","4172","0","1063","6740","10158","-498","519","2","126","-1022","82","-196","504","3052","-402","",""
"2019-12-09","13","5399","0","1589","6736","10425","-48","519","2","126","-908","82","100","504","3043","132","",""
"2019-12-09","14","7621","0","1864","6725","11052","-14","518","3","128","-892","82","102","504","3067","150","",""
"2019-12-09","15","8726","0","1936","6724","11285","298","521","2","119","816","82","164","460","3025","384","",""
"2019-12-09","16","10281","0","1912","6727","11386","574","517","0","128","740","76","166","326","3087","386","",""
"2019-12-09","17","10366","0","1818","6729","11512","528","582","0","143","1972","-92","102","164","3085","700","",""
"2019-12-09","18","10795","0","1826","6730","11087","518","699","1","148","1998","-194","102","86","3091","706","",""
"2019-12-09","19","11283","0","1861","6717","10924","542","867","3","148","2000","-76","102","-48","3092","444","",""
"2019-12-09","20","11353","0","1937","6700","10669","512","867","1","146","2000","-156","102","-112","3085","442","",""
"2019-12-09","21","11352","0","1980","6689","10746","226","864","1","147","1896","-306","462","-264","3081","32","",""
"2019-12-09","22","11153","0","1989","6708","10771","300","848","1","147","1952","-440","498","-342","3082","22","",""
"2019-12-09","23","11571","0","1990","6690","10763","76","834","1","150","156","-424","914","-494","3091","960","",""
"2019-12-09","24","11430","0","2040","6690","10689","-8","835","1","154","130","-456","924","-536","3083","1000","",""
"2019-12-09","25","11430","0","1896","6696","10541","62","846","1","150","588","-456","924","-536","3076","1000","",""
"2019-12-09","26","11524","0","1864","6687","10284","116","846","1","166","584","-456","924","-536","3081","1000","",""
"2019-12-09","27","11308","0","1837","6689","9665","258","841","0","172","1920","-456","1000","-536","3079","1000","",""
"2019-12-09","28","12423","0","1868","6688","8891","158","833","1","159","1998","-456","1000","-536","3085","1000","",""
"2019-12-09","29","13635","0","1878","6685","8194","162","832","1","157","1998","-456","1000","-536","3083","1000","",""
"2019-12-09","30","14869","0","1986","6682","7645","54","831","1","155","1998","-456","1000","-536","3094","1000","",""
"2019-12-09","31","16449","0","2017","6680","7207","498","844","1","147","1896","-456","1000","-536","3092","1000","",""
"2019-12-09","32","18222","0","2100","6685","6611","518","846","0","148","1896","-456","1000","-536","3090","1000","",""
"2019-12-09","33","19315","0","2138","6676","6534","1802","876","1","191","1996","-456","1000","-536","3092","1000","",""
"2019-12-09","34","20565","0","2208","6680","6114","1832","894","1","256","1998","-456","1000","-536","3107","1000","",""
"2019-12-09","35","20732","0","2339","6678","5889","1956","899","1","258","1998","-456","1000","-524","3112","998","",""
