,All Prod,Prod Forecast,Cons Forecast,Wind Prod,Wind Forecast,DA price,Imb up price,Imb down price,Gas Price
2013-01-01,1430.0,1112.0,1230.0,818.0,765.0,0.1,0.1,0.1,27.28
2013-01-02,1466.0,1242.0,1108.0,563.0,463.0,11.81,11.81,-66.89,27.275
2013-01-03,1550.0,1231.0,1270.0,743.0,629.0,13.99,13.99,13.99,26.6
2013-01-04,1675.0,1282.0,1298.0,804.0,781.0,11.04,11.04,11.04,27.715999999999998
2013-01-05,991.0,1000.0,1278.0,215.0,188.0,30.95,30.95,25.48,28.229
2013-01-06,919.0,857.0,1207.0,203.0,208.0,32.41,32.41,31.4,27.631999999999998
2013-01-07,873.0,829.0,1268.0,30.0,27.0,33.26,33.26,25.91,30.413
2013-01-08,985.0,870.0,1269.0,187.0,113.0,34.84,34.84,32.11,30.266
2013-01-09,824.0,899.0,1259.0,17.0,51.0,35.73,39.54,35.73,28.183000000000003
2013-01-10,1472.0,1145.0,1270.0,669.0,598.0,33.26,33.26,3.0,27.541999999999998
2013-01-11,1264.0,1239.0,1321.0,282.0,318.0,35.31,35.31,35.31,27.666999999999998
2013-01-12,1123.0,1119.0,1318.0,97.0,138.0,36.98,41.0,36.98,30.587
2013-01-13,1239.0,1110.0,1203.0,207.0,119.0,36.81,36.81,34.0,25.283
2013-01-14,1547.0,1239.0,1255.0,344.0,173.0,36.83,36.83,33.02,26.075
2013-01-15,1647.0,1476.0,1322.0,120.0,46.0,37.91,37.91,33.5,25.712
2013-01-16,1512.0,1477.0,1319.0,43.0,11.0,37.96,41.76,37.96,25.921
2013-01-17,1482.0,1482.0,1438.0,116.0,173.0,39.23,39.23,33.01,26.055999999999997
2013-01-18,1913.0,1810.0,1328.0,308.0,215.0,39.01,39.01,33.53,26.331999999999997
2013-01-19,1791.0,1597.0,1308.0,361.0,402.0,32.86,40.95,32.86,26.425
2013-01-20,1526.0,1543.0,1305.0,94.0,146.0,30.41,30.41,30.41,25.225
2013-01-21,2050.0,1648.0,1299.0,705.0,633.0,21.96,21.96,21.96,27.488000000000003
2013-01-22,2023.0,1742.0,1356.0,639.0,625.0,33.23,33.23,33.23,27.149
2013-01-23,1854.0,1711.0,1417.0,239.0,175.0,38.23,42.54,38.23,27.175
2013-01-24,1785.0,1450.0,1405.0,198.0,103.0,39.67,39.67,34.46,26.944000000000003
2013-01-25,1678.0,1710.0,1323.0,4.0,4.0,39.17,39.17,39.17,27.006999999999998
2013-01-26,1993.0,1618.0,1289.0,619.0,503.0,32.06,32.06,28.41,29.658
2013-01-27,1900.0,1506.0,1302.0,437.0,316.0,29.5,37.45,29.5,26.862
2013-01-28,1856.0,1630.0,1332.0,579.0,493.0,30.74,30.74,28.24,26.945999999999998
2013-01-29,2101.0,1635.0,1360.0,750.0,760.0,8.51,8.51,8.04,27.429000000000002
2013-01-30,1989.0,1449.0,1374.0,771.0,675.0,10.04,10.04,10.04,27.987
2013-01-31,1903.0,1359.0,1345.0,846.0,593.0,-0.04,-0.04,-0.04,28.675
2013-02-01,1523.0,1499.0,1301.0,351.0,392.0,30.05,30.05,26.21,33.045
2013-02-02,1363.0,1364.0,1289.0,94.0,93.0,33.3,33.3,30.0,35.143
2013-02-03,1387.0,1255.0,1313.0,162.0,127.0,31.26,31.26,26.88,34.385999999999996
2013-02-04,1586.0,1502.0,1269.0,400.0,401.0,26.09,26.09,26.09,41.705
2013-02-05,1895.0,1544.0,1331.0,749.0,778.0,8.77,35.0,8.77,46.446999999999996
2013-02-06,1867.0,1483.0,1274.0,678.0,478.0,33.94,33.94,30.0,58.518
2013-02-07,1307.0,1304.0,1341.0,95.0,73.0,35.08,35.08,32.96,63.848
2013-02-08,1715.0,1427.0,1302.0,133.0,132.0,36.23,38.0,36.23,54.63399999999999
2013-02-09,1511.0,1429.0,1269.0,159.0,128.0,35.15,38.9,35.15,33.875
2013-02-10,1376.0,1341.0,1278.0,4.0,23.0,35.61,35.61,31.75,32.188
2013-02-11,1532.0,1380.0,1272.0,171.0,170.0,34.79,34.79,31.07,33.162
2013-02-12,1699.0,1486.0,1341.0,334.0,184.0,37.06,37.06,35.1,29.018
2013-02-13,1429.0,1366.0,1387.0,34.0,48.0,37.08,39.64,37.08,28.383000000000003
2013-02-14,1329.0,1348.0,1317.0,8.0,9.0,36.72,36.72,36.72,27.725
2013-02-15,1536.0,1434.0,1337.0,245.0,231.0,35.59,35.59,31.18,28.038
2013-02-16,1309.0,1232.0,1289.0,44.0,40.0,35.79,35.79,35.79,27.019000000000002
2013-02-17,1295.0,1351.0,1316.0,18.0,12.0,35.33,35.33,33.0,26.275
2013-02-18,1294.0,1287.0,1304.0,48.0,55.0,35.95,35.95,32.0,34.714
2013-02-19,1828.0,1512.0,1371.0,632.0,425.0,32.48,32.48,21.71,38.592
2013-02-20,1874.0,1626.0,1306.0,569.0,521.0,33.29,36.62,33.29,35.533
2013-02-21,1715.0,1572.0,1365.0,410.0,336.0,36.88,36.88,36.88,26.671
2013-02-22,1468.0,1345.0,1323.0,134.0,93.0,37.92,37.92,37.92,26.513
2013-02-23,1581.0,1586.0,1262.0,312.0,242.0,34.09,34.09,34.0,27.175
2013-02-24,2015.0,1622.0,1332.0,714.0,663.0,28.89,28.89,18.1,26.905
2013-02-25,1781.0,1604.0,1268.0,477.0,387.0,32.09,32.09,32.09,27.159000000000002
2013-02-26,1539.0,1470.0,1334.0,196.0,156.0,37.13,40.0,37.13,27.044
2013-02-27,1349.0,1336.0,1262.0,7.0,11.0,37.9,37.9,35.2,27.026999999999997
2013-02-28,1414.0,1435.0,1236.0,86.0,153.0,37.37,39.11,37.37,26.435
2013-03-01,1429.0,1387.0,1247.0,264.0,287.0,33.25,33.25,33.25,26.75
2013-03-02,1461.0,1395.0,1214.0,48.0,31.0,38.3,38.3,35.83,27.073
2013-03-03,1685.0,1352.0,1229.0,581.0,605.0,20.82,20.82,20.82,26.557
2013-03-04,1256.0,1274.0,1251.0,17.0,30.0,37.39,37.39,31.37,27.076
2013-03-05,1521.0,1469.0,1222.0,235.0,143.0,33.04,33.04,33.04,27.066999999999997
2013-03-06,950.0,1021.0,1212.0,6.0,21.0,35.05,35.05,35.05,29.033
2013-03-07,1424.0,1132.0,1227.0,794.0,637.0,30.96,30.96,-57.68,26.122
2013-03-08,1633.0,1134.0,1235.0,949.0,797.0,20.58,40.98,20.58,26.573
2013-03-09,1353.0,1134.0,1347.0,659.0,648.0,19.06,19.06,19.06,26.454
2013-03-10,1759.0,1316.0,1207.0,930.0,815.0,9.08,40.68,9.08,26.401
2013-03-11,1780.0,1331.0,1406.0,863.0,705.0,16.91,41.11,16.91,25.976999999999997
2013-03-12,1121.0,1219.0,1480.0,77.0,100.0,41.25,41.25,38.95,27.304000000000002
2013-03-13,1205.0,1120.0,1343.0,172.0,110.0,40.56,48.95,40.56,26.608
2013-03-14,1263.0,1204.0,1384.0,55.0,38.0,42.69,53.64,42.69,26.566999999999997
2013-03-15,1216.0,1188.0,1338.0,9.0,14.0,43.55,43.55,41.28,26.416999999999998
2013-03-16,1327.0,1278.0,1324.0,180.0,327.0,34.19,50.34,34.19,26.548000000000002
2013-03-17,1814.0,1400.0,1252.0,839.0,744.0,0.08,0.08,0.08,26.425
2013-03-18,1979.0,1441.0,1318.0,1014.0,866.0,5.34,5.34,5.34,26.506
2013-03-19,1741.0,1459.0,1328.0,677.0,756.0,31.52,49.26,31.52,26.348000000000003
2013-03-20,1582.0,1354.0,1339.0,503.0,491.0,33.03,33.03,33.03,26.079
2013-03-21,1512.0,1340.0,1353.0,362.0,325.0,34.96,34.96,34.96,26.226
2013-03-22,1538.0,1471.0,1424.0,402.0,473.0,33.29,33.29,33.29,26.044
2013-03-23,1545.0,1437.0,1523.0,746.0,609.0,10.19,34.94,10.19,26.066999999999997
2013-03-24,1026.0,951.0,1378.0,175.0,161.0,43.77,43.77,43.77,26.223000000000003
2013-03-25,1361.0,1327.0,1359.0,323.0,345.0,44.41,44.41,44.41,26.029
2013-03-26,1194.0,1206.0,1218.0,265.0,291.0,44.73,50.38,44.73,25.473000000000003
2013-03-27,1044.0,1075.0,1230.0,222.0,194.0,46.17,51.34,46.17,26.715
2013-03-28,1197.0,1209.0,1217.0,208.0,232.0,47.04,47.04,42.19,26.075
2013-03-29,1157.0,1067.0,1163.0,251.0,231.0,33.0,51.8,33.0,26.089000000000002
2013-03-30,1162.0,1087.0,1222.0,91.0,79.0,44.76,44.76,39.32,25.939
2013-03-31,992.0,1023.0,1200.0,33.0,31.0,43.11,44.95,43.11,26.131
2013-04-01,1046.0,1042.0,1148.0,130.0,89.0,42.92,42.92,38.66,26.616
2013-04-02,820.0,1036.0,1196.0,49.0,30.0,46.48,46.48,33.99,26.544
2013-04-03,769.0,868.0,1249.0,8.0,14.0,46.38,46.38,40.12,26.339000000000002
2013-04-04,1245.0,1125.0,1259.0,276.0,239.0,44.37,44.37,40.93,26.982
2013-04-05,1187.0,1142.0,1215.0,177.0,153.0,43.75,43.75,36.9,26.969
2013-04-06,1049.0,1045.0,1247.0,50.0,54.0,49.29,49.29,49.29,27.874000000000002
2013-04-07,1266.0,1012.0,1213.0,260.0,205.0,35.65,35.65,35.65,27.458000000000002
2013-04-08,1069.0,1061.0,1211.0,84.0,63.0,46.92,46.92,41.51,27.557
2013-04-09,1322.0,1359.0,1229.0,286.0,312.0,49.93,54.1,49.93,27.244
2013-04-10,1537.0,1433.0,1239.0,584.0,573.0,33.76,33.76,33.76,27.114
2013-04-11,1302.0,1204.0,1228.0,276.0,322.0,46.9,46.9,46.9,27.964000000000002
2013-04-12,1049.0,1120.0,1290.0,101.0,123.0,45.68,56.0,45.68,26.774
2013-04-13,911.0,916.0,1186.0,21.0,64.0,46.47,46.47,46.47,25.851
2013-04-14,1040.0,1104.0,1121.0,9.0,30.0,45.21,45.21,43.19,26.085
2013-04-15,1316.0,1128.0,1091.0,644.0,525.0,10.93,10.93,10.93,26.734
2013-04-16,927.0,970.0,1078.0,19.0,17.0,45.27,45.27,34.9,27.344
2013-04-17,1113.0,960.0,1054.0,349.0,293.0,32.27,32.27,19.7,27.180999999999997
2013-04-18,1106.0,1111.0,1082.0,582.0,545.0,10.27,10.27,10.27,27.046999999999997
2013-04-19,1183.0,1024.0,1165.0,595.0,676.0,9.15,36.31,9.15,27.189
2013-04-20,1015.0,961.0,1103.0,253.0,359.0,34.04,34.04,34.04,27.166
2013-04-21,926.0,923.0,1101.0,37.0,49.0,35.89,35.89,31.62,26.427
2013-04-22,809.0,804.0,1080.0,33.0,93.0,34.0,34.0,31.62,25.784000000000002
2013-04-23,1074.0,1020.0,1045.0,455.0,588.0,10.54,10.54,10.54,26.463
2013-04-24,931.0,827.0,1098.0,349.0,320.0,27.02,27.02,27.02,25.813000000000002
2013-04-25,830.0,742.0,1094.0,212.0,211.0,20.01,20.01,20.01,25.768
2013-04-26,880.0,819.0,1093.0,315.0,273.0,18.07,18.07,-10.0,25.842
2013-04-27,891.0,763.0,1070.0,119.0,92.0,31.4,31.4,28.84,26.233
2013-04-28,788.0,788.0,1081.0,119.0,91.0,31.48,31.48,31.48,25.298000000000002
2013-04-29,968.0,978.0,1015.0,304.0,267.0,22.17,22.17,22.17,27.430999999999997
2013-04-30,1449.0,1068.0,1066.0,750.0,612.0,21.64,21.64,21.64,26.991999999999997
2013-05-01,580.0,556.0,1099.0,73.0,80.0,29.11,29.11,29.11,26.334
2013-05-02,739.0,745.0,1061.0,19.0,26.0,33.7,33.7,33.7,26.404
2013-05-03,922.0,864.0,1060.0,164.0,152.0,31.22,31.22,31.22,26.166999999999998
