,All Prod,Prod Forecast,Cons Forecast,Wind Prod,Wind Forecast,DA price,Imb up price,Imb down price,Gas Price
2013-01-01,2793.0,2099.0,2647.0,943.0,772.0,36.24,37.31,36.24,27.28
2013-01-02,3607.0,2629.0,3339.0,1354.0,1292.0,40.52,40.52,30.0,27.275
2013-01-03,4555.0,2531.0,3224.0,2408.0,2723.0,36.74,36.74,30.98,26.6
2013-01-04,4221.0,2269.0,3118.0,2519.0,2242.0,37.43,37.43,28.79,27.715999999999998
2013-01-05,2710.0,2153.0,2732.0,350.0,277.0,46.59,46.59,46.59,28.229
2013-01-06,2581.0,2096.0,2777.0,626.0,711.0,37.36,40.0,37.36,27.631999999999998
2013-01-07,2961.0,2714.0,3378.0,215.0,315.0,71.47,71.47,71.47,30.413
2013-01-08,3056.0,2988.0,3345.0,28.0,64.0,68.92,68.92,68.92,30.266
2013-01-09,3615.0,2697.0,3337.0,1090.0,1350.0,44.19,48.26,44.19,28.183000000000003
2013-01-10,3724.0,2974.0,3256.0,1224.0,1409.0,52.03,52.03,52.03,27.541999999999998
2013-01-11,3041.0,2620.0,3124.0,496.0,788.0,54.03,54.03,54.03,27.666999999999998
2013-01-12,2703.0,2567.0,2830.0,226.0,288.0,57.02,57.02,57.02,30.587
2013-01-13,2596.0,2365.0,3038.0,273.0,179.0,44.38,44.38,37.07,25.283
2013-01-14,3264.0,3072.0,3687.0,536.0,789.0,70.76,70.76,44.5,26.075
2013-01-15,3133.0,3037.0,3508.0,55.0,162.0,70.92,70.92,70.92,25.712
2013-01-16,3163.0,3078.0,3466.0,105.0,98.0,69.93,73.71,69.93,25.921
2013-01-17,3184.0,3089.0,3478.0,252.0,235.0,72.83,72.83,37.9,26.055999999999997
2013-01-18,3833.0,3219.0,3351.0,1059.0,1020.0,62.2,62.2,47.98,26.331999999999997
2013-01-19,3430.0,2713.0,3037.0,1064.0,953.0,48.63,48.63,38.0,26.425
2013-01-20,3591.0,2901.0,3033.0,1407.0,1402.0,40.05,40.05,33.0,25.225
2013-01-21,4439.0,3090.0,3539.0,1980.0,2232.0,42.21,42.21,42.21,27.488000000000003
2013-01-22,3812.0,3171.0,3449.0,864.0,788.0,75.06,75.06,35.0,27.149
2013-01-23,3256.0,3202.0,3581.0,120.0,134.0,74.9,74.9,74.9,27.175
2013-01-24,3052.0,3121.0,3490.0,44.0,115.0,77.14,77.14,41.0,26.944000000000003
