,Business Type,Power System Resource  Type,Settlement Date,Settlement Period,Quantity ,Resolution
0,Solar generation,Solar,2015-01-01,1,0.0,PT30M
1,Wind generation,Wind Offshore,2015-01-01,1,0.0,PT30M
2,Wind generation,Wind Onshore,2015-01-01,1,0.0,PT30M
3,Solar generation,Solar,2015-01-01,2,0.0,PT30M
4,Wind generation,Wind Offshore,2015-01-01,2,0.0,PT30M
5,Wind generation,Wind Onshore,2015-01-01,2,0.0,PT30M
6,Solar generation,Solar,2015-01-01,3,0.0,PT30M
7,Wind generation,Wind Offshore,2015-01-01,3,117.089,PT30M
8,Wind generation,Wind Onshore,2015-01-01,3,664.4939999999999,PT30M
9,Solar generation,Solar,2015-01-01,4,0.0,PT30M
10,Wind generation,Wind Offshore,2015-01-01,4,117.089,PT30M
11,Wind generation,Wind Onshore,2015-01-01,4,664.4939999999999,PT30M
12,Solar generation,Solar,2015-01-01,5,0.0,PT30M
13,Wind generation,Wind Offshore,2015-01-01,5,119.57600000000001,PT30M
14,Wind generation,Wind Onshore,2015-01-01,5,665.743,PT30M
15,Solar generation,Solar,2015-01-01,6,0.0,PT30M
16,Wind generation,Wind Offshore,2015-01-01,6,119.57600000000001,PT30M
17,Wind generation,Wind Onshore,2015-01-01,6,665.743,PT30M
18,Wind generation,Wind Onshore,2015-01-01,7,660.914,PT30M
19,Solar generation,Solar,2015-01-01,7,0.0,PT30M
20,Wind generation,Wind Offshore,2015-01-01,7,115.223,PT30M
21,Solar generation,Solar,2015-01-01,8,0.0,PT30M
22,Wind generation,Wind Offshore,2015-01-01,8,115.223,PT30M
23,Wind generation,Wind Onshore,2015-01-01,8,660.914,PT30M
24,Solar generation,Solar,2015-01-01,14,0.0,PT30M
25,Wind generation,Wind Offshore,2015-01-01,14,104.87100000000001,PT30M
26,Wind generation,Wind Onshore,2015-01-01,14,660.079,PT30M
27,Wind generation,Wind Offshore,2015-01-01,17,127.41799999999999,PT30M
28,Wind generation,Wind Onshore,2015-01-01,17,692.923,PT30M
29,Solar generation,Solar,2015-01-01,17,0.0,PT30M
30,Solar generation,Solar,2015-01-01,18,0.0,PT30M
31,Wind generation,Wind Offshore,2015-01-01,18,127.41799999999999,PT30M
32,Wind generation,Wind Onshore,2015-01-01,18,692.923,PT30M
33,Solar generation,Solar,2015-01-02,8,0.0,PT30M
34,Wind generation,Wind Offshore,2015-01-02,8,172.565,PT30M
35,Wind generation,Wind Onshore,2015-01-02,8,883.7239999999999,PT30M
36,Solar generation,Solar,2015-01-03,35,3.0,PT30M
37,Wind generation,Wind Offshore,2015-01-03,35,52.295,PT30M
38,Wind generation,Wind Onshore,2015-01-03,35,218.923,PT30M
39,Solar generation,Solar,2015-01-03,36,0.0,PT30M
40,Wind generation,Wind Offshore,2015-01-03,36,52.295,PT30M
41,Wind generation,Wind Onshore,2015-01-03,36,218.923,PT30M
42,Solar generation,Solar,2015-01-03,47,0.0,PT30M
43,Wind generation,Wind Offshore,2015-01-03,47,44.666000000000004,PT30M
44,Wind generation,Wind Onshore,2015-01-03,47,141.513,PT30M
45,Solar generation,Solar,2015-01-04,17,18.0,PT30M
46,Wind generation,Wind Offshore,2015-01-04,17,22.798000000000002,PT30M
47,Wind generation,Wind Onshore,2015-01-04,17,167.828,PT30M
48,Solar generation,Solar,2015-01-04,33,145.0,PT30M
49,Wind generation,Wind Offshore,2015-01-04,33,19.924,PT30M
50,Wind generation,Wind Onshore,2015-01-04,33,294.92,PT30M
51,Wind generation,Wind Offshore,2015-01-05,5,879.0,PT30M
52,Wind generation,Wind Onshore,2015-01-05,5,2006.0,PT30M
53,Solar generation,Solar,2015-01-05,5,0.0,PT30M
54,Wind generation,Wind Offshore,2015-01-05,28,1489.0,PT30M
55,Wind generation,Wind Onshore,2015-01-05,28,2195.0,PT30M
56,Solar generation,Solar,2015-01-05,28,416.0,PT30M
57,Wind generation,Wind Offshore,2015-01-06,15,2583.0,PT30M
58,Wind generation,Wind Onshore,2015-01-06,15,2357.0,PT30M
59,Solar generation,Solar,2015-01-06,15,0.0,PT30M
60,Wind generation,Wind Offshore,2015-01-06,16,2433.0,PT30M
61,Wind generation,Wind Onshore,2015-01-06,16,2160.0,PT30M
62,Solar generation,Solar,2015-01-06,16,0.0,PT30M
63,Wind generation,Wind Offshore,2015-01-06,34,2529.0,PT30M
64,Wind generation,Wind Onshore,2015-01-06,34,1931.0,PT30M
65,Solar generation,Solar,2015-01-06,34,120.0,PT30M
66,Wind generation,Wind Onshore,2015-01-06,35,1768.0,PT30M
67,Solar generation,Solar,2015-01-06,35,14.0,PT30M
68,Wind generation,Wind Offshore,2015-01-06,35,2396.0,PT30M
69,Wind generation,Wind Offshore,2015-01-07,13,2242.0,PT30M
70,Wind generation,Wind Onshore,2015-01-07,13,2354.0,PT30M
71,Solar generation,Solar,2015-01-07,13,0.0,PT30M
72,Wind generation,Wind Offshore,2015-01-07,34,3407.0,PT30M
73,Wind generation,Wind Onshore,2015-01-07,34,4241.0,PT30M
74,Solar generation,Solar,2015-01-07,34,32.0,PT30M
75,Wind generation,Wind Offshore,2015-01-07,35,3398.0,PT30M
76,Wind generation,Wind Onshore,2015-01-07,35,4232.0,PT30M
77,Solar generation,Solar,2015-01-07,35,2.0,PT30M
78,Wind generation,Wind Offshore,2015-01-08,24,1806.0,PT30M
79,Wind generation,Wind Onshore,2015-01-08,24,2872.0,PT30M
80,Solar generation,Solar,2015-01-08,24,357.0,PT30M
81,Wind generation,Wind Offshore,2015-01-08,25,1995.0,PT30M
82,Wind generation,Wind Onshore,2015-01-08,25,3013.0,PT30M
83,Solar generation,Solar,2015-01-08,25,512.0,PT30M
84,Solar generation,Solar,2015-01-08,39,0.0,PT30M
85,Wind generation,Wind Offshore,2015-01-08,39,3275.0,PT30M
86,Wind generation,Wind Onshore,2015-01-08,39,3273.0,PT30M
87,Wind generation,Wind Offshore,2015-01-08,40,3352.0,PT30M
88,Wind generation,Wind Onshore,2015-01-08,40,3417.0,PT30M
89,Solar generation,Solar,2015-01-08,40,0.0,PT30M
90,Wind generation,Wind Offshore,2015-01-09,1,2431.0,PT30M
91,Wind generation,Wind Onshore,2015-01-09,1,2452.0,PT30M
92,Solar generation,Solar,2015-01-09,1,0.0,PT30M
93,Wind generation,Wind Offshore,2015-01-09,2,2502.0,PT30M
94,Wind generation,Wind Onshore,2015-01-09,2,2411.0,PT30M
95,Solar generation,Solar,2015-01-09,2,0.0,PT30M
96,Wind generation,Wind Offshore,2015-01-09,14,3430.0,PT30M
97,Wind generation,Wind Onshore,2015-01-09,14,2142.0,PT30M
98,Solar generation,Solar,2015-01-09,14,0.0,PT30M
99,Wind generation,Wind Offshore,2015-01-09,15,3467.0,PT30M
100,Wind generation,Wind Onshore,2015-01-09,15,2445.0,PT30M
101,Solar generation,Solar,2015-01-09,15,0.0,PT30M
102,Wind generation,Wind Offshore,2015-01-09,28,3315.0,PT30M
103,Wind generation,Wind Onshore,2015-01-09,28,2793.0,PT30M
104,Solar generation,Solar,2015-01-09,28,570.0,PT30M
105,Wind generation,Wind Offshore,2015-01-09,29,3359.0,PT30M
106,Wind generation,Wind Onshore,2015-01-09,29,2571.0,PT30M
107,Solar generation,Solar,2015-01-09,29,461.0,PT30M
108,Wind generation,Wind Offshore,2015-01-09,43,3462.0,PT30M
109,Wind generation,Wind Onshore,2015-01-09,43,3717.0,PT30M
