,Business Type,Power System Resource  Type,Settlement Date,Settlement Period,Quantity,Resolution
0,Solar generation,Solar,2015-01-01,1,0.0,PT30M
1,Wind generation,Wind Offshore,2015-01-01,1,2987.0490000000004,PT30M
2,Wind generation,Wind Onshore,2015-01-01,1,4013.583,PT30M
3,Solar generation,Solar,2015-01-01,2,0.0,PT30M
4,Wind generation,Wind Offshore,2015-01-01,2,2987.0490000000004,PT30M
5,Wind generation,Wind Onshore,2015-01-01,2,4013.583,PT30M
6,Solar generation,Solar,2015-01-01,3,0.0,PT30M
7,Wind generation,Wind Offshore,2015-01-01,3,2926.7090000000003,PT30M
8,Wind generation,Wind Onshore,2015-01-01,3,4074.533,PT30M
9,Solar generation,Solar,2015-01-01,4,0.0,PT30M
10,Wind generation,Wind Offshore,2015-01-01,4,2926.7090000000003,PT30M
11,Wind generation,Wind Onshore,2015-01-01,4,4074.533,PT30M
12,Solar generation,Solar,2015-01-01,5,0.0,PT30M
13,Wind generation,Wind Offshore,2015-01-01,5,2866.995,PT30M
14,Wind generation,Wind Onshore,2015-01-01,5,4157.477,PT30M
15,Solar generation,Solar,2015-01-01,6,0.0,PT30M
16,Wind generation,Wind Offshore,2015-01-01,6,2866.995,PT30M
17,Wind generation,Wind Onshore,2015-01-01,6,4157.477,PT30M
18,Solar generation,Solar,2015-01-01,7,0.0,PT30M
19,Wind generation,Wind Offshore,2015-01-01,7,2808.716,PT30M
20,Wind generation,Wind Onshore,2015-01-01,7,4229.5,PT30M
21,Solar generation,Solar,2015-01-01,8,0.0,PT30M
22,Wind generation,Wind Offshore,2015-01-01,8,2808.716,PT30M
23,Wind generation,Wind Onshore,2015-01-01,8,4229.5,PT30M
24,Solar generation,Solar,2015-01-01,9,0.0,PT30M
25,Wind generation,Wind Offshore,2015-01-01,9,2769.593,PT30M
26,Wind generation,Wind Onshore,2015-01-01,9,4133.56,PT30M
27,Solar generation,Solar,2015-01-01,10,0.0,PT30M
28,Wind generation,Wind Offshore,2015-01-01,10,2769.593,PT30M
29,Wind generation,Wind Onshore,2015-01-01,10,4133.56,PT30M
30,Solar generation,Solar,2015-01-01,11,0.0,PT30M
31,Wind generation,Wind Offshore,2015-01-01,11,2752.9109999999996,PT30M
32,Wind generation,Wind Onshore,2015-01-01,11,4005.2909999999997,PT30M
33,Solar generation,Solar,2015-01-01,12,0.0,PT30M
34,Wind generation,Wind Offshore,2015-01-01,12,2752.9109999999996,PT30M
35,Wind generation,Wind Onshore,2015-01-01,12,4005.2909999999997,PT30M
36,Solar generation,Solar,2015-01-01,13,0.0,PT30M
37,Wind generation,Wind Offshore,2015-01-01,13,2765.5359999999996,PT30M
38,Wind generation,Wind Onshore,2015-01-01,13,3923.744,PT30M
39,Solar generation,Solar,2015-01-01,14,0.0,PT30M
40,Wind generation,Wind Offshore,2015-01-01,14,2765.5359999999996,PT30M
41,Wind generation,Wind Onshore,2015-01-01,14,3923.744,PT30M
42,Solar generation,Solar,2015-01-01,15,0.0,PT30M
43,Wind generation,Wind Offshore,2015-01-01,15,2958.1540000000005,PT30M
44,Wind generation,Wind Onshore,2015-01-01,15,4002.0959999999995,PT30M
45,Solar generation,Solar,2015-01-01,16,0.0,PT30M
46,Wind generation,Wind Offshore,2015-01-01,16,2958.1540000000005,PT30M
47,Wind generation,Wind Onshore,2015-01-01,16,4002.0959999999995,PT30M
48,Solar generation,Solar,2015-01-01,17,7.0,PT30M
49,Wind generation,Wind Offshore,2015-01-01,17,3160.553,PT30M
50,Wind generation,Wind Onshore,2015-01-01,17,4135.79,PT30M
