,RecordType,SettlementDate,SettlementPeriod,Zone,TimePublished,Quantity
0,DANF,20150101,1,N,20141231234700,29400
1,DANF,20150101,2,N,20150101001700,29800
2,DANF,20150101,3,N,20150101004700,28920
3,DANF,20150101,4,N,20150101011700,27932
4,DANF,20150101,5,N,20150101014700,26868
5,DANF,20150101,6,N,20150101021700,26174
6,DANF,20150101,7,N,20150101024700,25151
7,DANF,20150101,8,N,20150101031700,24167
8,DANF,20150101,9,N,20150101034700,23333
9,DANF,20150101,10,N,20150101041600,22795
10,DANF,20150101,11,N,20150101044700,22515
11,DANF,20150101,12,N,20150101051600,22400
12,DANF,20150101,13,N,20150101054600,22884
13,DANF,20150101,14,N,20150101061600,23104
14,DANF,20150101,15,N,20150101064600,23423
15,DANF,20150101,16,N,20150101071600,23432
16,DANF,20150101,17,N,20150101074600,23955
17,DANF,20150101,18,N,20150101081600,24780
18,DANF,20150101,19,N,20150101081600,26269
19,DANF,20150101,20,N,20150101091600,27944
20,DANF,20150101,21,N,20150101094600,29700
21,DANF,20150101,22,N,20150101101600,31139
22,DANF,20150101,23,N,20150101104600,32330
23,DANF,20150101,24,N,20150101111600,33248
24,DANF,20150101,25,N,20150101114800,33849
25,DANF,20150101,26,N,20150101121700,34000
26,DANF,20150101,27,N,20150101124700,34200
27,DANF,20150101,28,N,20150101131700,34219
28,DANF,20150101,29,N,20150101134700,34228
29,DANF,20150101,30,N,20150101141700,34200
30,DANF,20150101,31,N,20150101144800,34529
31,DANF,20150101,32,N,20150101151700,35234
32,DANF,20150101,33,N,20150101154700,36862
33,DANF,20150101,34,N,20150101161700,38063
34,DANF,20150101,35,N,20150101164700,39000
35,DANF,20150101,36,N,20150101171700,38601
36,DANF,20150101,37,N,20150101174700,37598
37,DANF,20150101,38,N,20150101181700,36726
38,DANF,20150101,39,N,20150101184700,35611
39,DANF,20150101,40,N,20150101191700,34637
40,DANF,20150101,41,N,20150101194700,33738
41,DANF,20150101,42,N,20150101201700,32300
42,DANF,20150101,43,N,20150101204700,31552
43,DANF,20150101,44,N,20150101211700,30111
44,DANF,20150101,45,N,20150101214700,28852
45,DANF,20150101,46,N,20150101221700,27906
46,DANF,20150101,47,N,20150101224700,26293
47,DANF,20150101,48,N,20150101231700,25300
0,DANF,20150102,1,N,20150101234700,25500
1,DANF,20150102,2,N,20150102001700,25700
2,DANF,20150102,3,N,20150102004700,25066
3,DANF,20150102,4,N,20150102011700,24491
4,DANF,20150102,5,N,20150102014700,23909
5,DANF,20150102,6,N,20150102021700,23845
6,DANF,20150102,7,N,20150102024700,23316
7,DANF,20150102,8,N,20150102031700,22351
8,DANF,20150102,9,N,20150102034700,22025
9,DANF,20150102,10,N,20150102041600,22000
10,DANF,20150102,11,N,20150102044700,22481
11,DANF,20150102,12,N,20150102051700,23214
12,DANF,20150102,13,N,20150102054600,25443
13,DANF,20150102,14,N,20150102061600,27427
14,DANF,20150102,15,N,20150102064600,29571
15,DANF,20150102,16,N,20150102071600,31314
16,DANF,20150102,17,N,20150102074600,33078
17,DANF,20150102,18,N,20150102081600,34363
18,DANF,20150102,19,N,20150102081600,35582
19,DANF,20150102,20,N,20150102091600,36354
20,DANF,20150102,21,N,20150102094600,37000
21,DANF,20150102,22,N,20150102101600,35466
22,DANF,20150102,23,N,20150102104600,35509
23,DANF,20150102,24,N,20150102111600,35607
24,DANF,20150102,25,N,20150102114800,36000
25,DANF,20150102,26,N,20150102121800,35959
26,DANF,20150102,27,N,20150102124700,36024
27,DANF,20150102,28,N,20150102131700,36020
28,DANF,20150102,29,N,20150102134700,36095
29,DANF,20150102,30,N,20150102141800,35900
30,DANF,20150102,31,N,20150102144700,36593
31,DANF,20150102,32,N,20150102151700,37689
32,DANF,20150102,33,N,20150102154700,39860
33,DANF,20150102,34,N,20150102161700,42630
34,DANF,20150102,35,N,20150102164700,44100
35,DANF,20150102,36,N,20150102171700,43970
36,DANF,20150102,37,N,20150102174700,43302
37,DANF,20150102,38,N,20150102181700,42510
38,DANF,20150102,39,N,20150102184700,41307
39,DANF,20150102,40,N,20150102191700,39920
40,DANF,20150102,41,N,20150102194700,38512
41,DANF,20150102,42,N,20150102201700,37100
42,DANF,20150102,43,N,20150102204700,35928
43,DANF,20150102,44,N,20150102211700,34161
44,DANF,20150102,45,N,20150102214700,32854
45,DANF,20150102,46,N,20150102221700,31467
46,DANF,20150102,47,N,20150102224700,29727
47,DANF,20150102,48,N,20150102231700,28500
0,DANF,20150103,1,N,20150102234700,28300
1,DANF,20150103,2,N,20150103001700,28300
2,DANF,20150103,3,N,20150103004700,27937
3,DANF,20150103,4,N,20150103011700,27205
4,DANF,20150103,5,N,20150103014700,26513
5,DANF,20150103,6,N,20150103021700,26342
6,DANF,20150103,7,N,20150103024700,25883
7,DANF,20150103,8,N,20150103031700,25371
8,DANF,20150103,9,N,20150103034700,24612
9,DANF,20150103,10,N,20150103041700,24500
10,DANF,20150103,11,N,20150103044700,24708
11,DANF,20150103,12,N,20150103051700,25206
12,DANF,20150103,13,N,20150103054700,26294
13,DANF,20150103,14,N,20150103061600,27318
14,DANF,20150103,15,N,20150103064600,28594
15,DANF,20150103,16,N,20150103071700,29804
16,DANF,20150103,17,N,20150103074600,31675
17,DANF,20150103,18,N,20150103081600,33547
18,DANF,20150103,19,N,20150103081600,35740
19,DANF,20150103,20,N,20150103091600,37099
20,DANF,20150103,21,N,20150103094600,38400
21,DANF,20150103,22,N,20150103101600,38956
22,DANF,20150103,23,N,20150103104600,39536
23,DANF,20150103,24,N,20150103111600,39674
24,DANF,20150103,25,N,20150103114800,39772
25,DANF,20150103,26,N,20150103121700,39800
26,DANF,20150103,27,N,20150103124800,39253
27,DANF,20150103,28,N,20150103131700,39141
28,DANF,20150103,29,N,20150103134700,39122
29,DANF,20150103,30,N,20150103141700,39000
30,DANF,20150103,31,N,20150103144700,39283
31,DANF,20150103,32,N,20150103151700,40024
32,DANF,20150103,33,N,20150103154700,41875
33,DANF,20150103,34,N,20150103161700,44140
34,DANF,20150103,35,N,20150103164700,45400
35,DANF,20150103,36,N,20150103171800,45290
36,DANF,20150103,37,N,20150103174700,44835
37,DANF,20150103,38,N,20150103181700,43592
38,DANF,20150103,39,N,20150103184700,42492
39,DANF,20150103,40,N,20150103191700,41026
40,DANF,20150103,41,N,20150103194700,39759
41,DANF,20150103,42,N,20150103201700,38400
42,DANF,20150103,43,N,20150103204700,36857
43,DANF,20150103,44,N,20150103211700,35463
44,DANF,20150103,45,N,20150103214700,34025
45,DANF,20150103,46,N,20150103221700,32973
46,DANF,20150103,47,N,20150103224700,31400
47,DANF,20150103,48,N,20150103231700,30300
0,DANF,20150104,1,N,20150103234700,30200
1,DANF,20150104,2,N,20150104001700,30200
2,DANF,20150104,3,N,20150104004700,29672
3,DANF,20150104,4,N,20150104011700,28721
4,DANF,20150104,5,N,20150104014700,27907
5,DANF,20150104,6,N,20150104021700,27615
6,DANF,20150104,7,N,20150104024700,27046
7,DANF,20150104,8,N,20150104031700,26234
8,DANF,20150104,9,N,20150104034700,25789
9,DANF,20150104,10,N,20150104041700,25492
10,DANF,20150104,11,N,20150104044700,25700
11,DANF,20150104,12,N,20150104051700,25896
12,DANF,20150104,13,N,20150104054600,26937
13,DANF,20150104,14,N,20150104061600,27281
14,DANF,20150104,15,N,20150104064600,28058
15,DANF,20150104,16,N,20150104071600,28620
16,DANF,20150104,17,N,20150104074600,29484
17,DANF,20150104,18,N,20150104081600,31013
18,DANF,20150104,19,N,20150104081600,33207
19,DANF,20150104,20,N,20150104091600,34955
20,DANF,20150104,21,N,20150104094600,36800
21,DANF,20150104,22,N,20150104101600,37645
22,DANF,20150104,23,N,20150104104600,38441
23,DANF,20150104,24,N,20150104111600,39127
24,DANF,20150104,25,N,20150104114700,39824
25,DANF,20150104,26,N,20150104121800,39900
26,DANF,20150104,27,N,20150104124700,39902
27,DANF,20150104,28,N,20150104131800,39517
28,DANF,20150104,29,N,20150104134700,39500
29,DANF,20150104,30,N,20150104141700,39300
30,DANF,20150104,31,N,20150104144700,39847
31,DANF,20150104,32,N,20150104151700,41048
32,DANF,20150104,33,N,20150104154700,43288
33,DANF,20150104,34,N,20150104161700,45469
34,DANF,20150104,35,N,20150104164700,46500
35,DANF,20150104,36,N,20150104171700,46222
36,DANF,20150104,37,N,20150104174700,45528
37,DANF,20150104,38,N,20150104181700,44282
38,DANF,20150104,39,N,20150104184700,43149
39,DANF,20150104,40,N,20150104191700,41727
40,DANF,20150104,41,N,20150104194700,40868
41,DANF,20150104,42,N,20150104201700,39200
42,DANF,20150104,43,N,20150104204700,37620
43,DANF,20150104,44,N,20150104211700,36107
44,DANF,20150104,45,N,20150104214700,34683
45,DANF,20150104,46,N,20150104221700,32979
46,DANF,20150104,47,N,20150104224700,30726
47,DANF,20150104,48,N,20150104231700,29200
0,DANF,20150105,1,N,20150104234700,29400
1,DANF,20150105,2,N,20150105001700,29600
2,DANF,20150105,3,N,20150105004700,29493
3,DANF,20150105,4,N,20150105011700,28852
4,DANF,20150105,5,N,20150105014700,28226
5,DANF,20150105,6,N,20150105021700,28227
6,DANF,20150105,7,N,20150105024700,27611
7,DANF,20150105,8,N,20150105031700,27112
8,DANF,20150105,9,N,20150105034700,26801
9,DANF,20150105,10,N,20150105041600,26800
10,DANF,20150105,11,N,20150105044700,27487
11,DANF,20150105,12,N,20150105051600,28653
12,DANF,20150105,13,N,20150105054600,32191
13,DANF,20150105,14,N,20150105061700,35639
14,DANF,20150105,15,N,20150105064700,39722
15,DANF,20150105,16,N,20150105071600,41890
16,DANF,20150105,17,N,20150105074700,43020
17,DANF,20150105,18,N,20150105081600,43347
18,DANF,20150105,19,N,20150105081600,44042
19,DANF,20150105,20,N,20150105091600,44400
20,DANF,20150105,21,N,20150105094600,44398
21,DANF,20150105,22,N,20150105101600,44539
22,DANF,20150105,23,N,20150105104600,44676
23,DANF,20150105,24,N,20150105111600,44720
24,DANF,20150105,25,N,20150105114700,45100
25,DANF,20150105,26,N,20150105121800,44986
26,DANF,20150105,27,N,20150105124700,44851
27,DANF,20150105,28,N,20150105131800,44764
